product,LGBM,MLP,RandomForest,Ridge,XGBoost,average,stack
artichoke,0.92451,0.90387,0.92417,0.86274,0.93962,0.94488,0.92335
cabbage,0.84326,0.75987,0.88731,0.70202,0.89758,0.89961,0.90615
cilantro,0.75246,0.83375,0.76986,0.84229,0.7854,0.78698,0.7244
daikon,0.91438,0.94062,0.90512,0.90886,0.91011,0.92232,0.88116
garlic,0.93251,0.95713,0.95727,0.8971,0.94075,0.94746,0.95077
onion,0.94393,0.81918,0.94899,0.94004,0.94856,0.94341,0.9411
radish,0.88048,0.91225,0.92765,0.80715,0.89488,0.91405,0.89225
